DIST - ALL SIGS
data/test/dist/100cm/202244_175143_Sig_Cs137_100cm.sps, scaled_mldt_bin_model_average.dat, mldt, average, Background
data/test/dist/100cm/202244_173543_Sig_Cs137_100cm.sps, scaled_mldt_bin_model_average.dat, mldt, average, Background
data/test/dist/100cm/202244_174831_Sig_Cs137_100cm.sps, scaled_mldt_bin_model_average.dat, mldt, average, Background
data/test/dist/100cm/202244_173231_Sig_Cs137_100cm.sps, scaled_mldt_bin_model_average.dat, mldt, average, Background
data/test/dist/100cm/202244_174519_Sig_Cs137_100cm.sps, scaled_mldt_bin_model_average.dat, mldt, average, Background
data/test/dist/100cm/202244_17427_Sig_Cs137_100cm.sps, scaled_mldt_bin_model_average.dat, mldt, average, Background
data/test/dist/100cm/202244_173855_Sig_Cs137_100cm.sps, scaled_mldt_bin_model_average.dat, mldt, average, Background
data/test/dist/100cm/202244_175455_Sig_Cs137_100cm.sps, scaled_mldt_bin_model_average.dat, mldt, average, Background
data/test/dist/100cm/202244_172920_Sig_Cs137_100cm.sps, scaled_mldt_bin_model_average.dat, mldt, average, Background
data/test/dist/100cm/202244_17587_Sig_Cs137_100cm.sps, scaled_mldt_bin_model_average.dat, mldt, average, Signal
data/test/dist/200cm/202244_162255_Sig_Cs137_200cm.sps, scaled_mldt_bin_model_average.dat, mldt, average, Background
data/test/dist/200cm/202244_16424_Sig_Cs137_200cm.sps, scaled_mldt_bin_model_average.dat, mldt, average, Background
data/test/dist/200cm/202244_163852_Sig_Cs137_200cm.sps, scaled_mldt_bin_model_average.dat, mldt, average, Background
data/test/dist/200cm/202244_16267_Sig_Cs137_200cm.sps, scaled_mldt_bin_model_average.dat, mldt, average, Background
data/test/dist/200cm/202244_163230_Sig_Cs137_200cm.sps, scaled_mldt_bin_model_average.dat, mldt, average, Background
data/test/dist/200cm/202244_162918_Sig_Cs137_200cm.sps, scaled_mldt_bin_model_average.dat, mldt, average, Background
data/test/dist/200cm/202244_163541_Sig_Cs137_200cm.sps, scaled_mldt_bin_model_average.dat, mldt, average, Background
data/test/dist/200cm/202244_164826_Sig_Cs137_200cm.sps, scaled_mldt_bin_model_average.dat, mldt, average, Signal
data/test/dist/200cm/202244_161944_Sig_Cs137_200cm.sps, scaled_mldt_bin_model_average.dat, mldt, average, Background
data/test/dist/200cm/202244_164515_Sig_Cs137_200cm.sps, scaled_mldt_bin_model_average.dat, mldt, average, Background
data/test/dist/150cm/202244_165743_Sig_Cs137_150cm.sps, scaled_mldt_bin_model_average.dat, mldt, average, Background
data/test/dist/150cm/202244_1746_Sig_Cs137_150cm.sps, scaled_mldt_bin_model_average.dat, mldt, average, Background
data/test/dist/150cm/202244_165431_Sig_Cs137_150cm.sps, scaled_mldt_bin_model_average.dat, mldt, average, Background
